,,,,,,,,,,,,,,,,,,FY12,FY13,FY14,,,FY15,,,FY16,,,FY17,,,FY18,,,,FY19,,,FY20,,,,FY21 (Covid),,,FY22,,,
STATION, FY1995 , FY1996 , FY1997 , FY1998 , FY1999 , FY2000 , FY2001 , FY2002 , FY2003 , FY2004 , FY2005 , FY2006 , FY2007 , FY2008 , FY2009 , FY2010 , FY2011 ,Spring 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Spring 2017,Summer 2017,Fall 2017,Spring 2018 (pre-Courthouse),Spring 2018 (w/Courthouse),Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Spring 2020 (thru April 11),April 2020 (Covid),Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021 (Sept21),Mid Coast (Nov 21),Spring 2022
 Fifth Ave ,"3,383","3,520","3,944","4,296","4,880","5,016","5,103","4,523","5,022","4,952","5,344","4,680","4,713","4,605","4,227","4,206","4,563","  3,442 ","1,964","3,522","3,587","3,670","3,643","3,737","4,037","4,111","3,908","3,832","3,771","3,578","3,637","3,609","3,522","3,646","3,666","3,668","3,546","3,412","3,373","3,705","  2,729 ","  1,460 ","  1,697 ","  1,800 ","  1,851 ","  2,182 ",,"  2,462 ","  2,884 "
 Gaslamp Quarter ,159,128,260,214,313,204,227,298,325,320,433,418,343,458,599,520,448,  297 ,"1,129","1,406","1,170","1,164","1,576","1,073","1,172","1,444",953,986,"1,395",841,882,"1,386","1,066","1,261","1,250","1,457","1,318","1,457","1,594","1,668","  1,533 ","  1,089 ","  1,190 ","  1,243 ","  1,059 ","  1,313 ",,  625 ,  788 
 Gillespie Field ,,194,196,254,226,279,238,240,252,206,185,523,624,648,787,674,695,  487 ,346,316,353,323,321,303,301,287,296,293,262,255,272,254,276,261,261,251,264,257,260,"1,157",  194 ,  100 ,  102 ,  135 ,  127 ,  138 ,,  126 ,  145 
 Grantville ,,,,,,,,,,,,787,978,"1,045","1,159","1,182","1,123","  1,102 ","1,280","1,275","1,376","1,355","1,325","1,331","1,181","1,080","1,069",983,947,937,963,872,920,857,858,779,842,848,847,936,  682 ,  324 ,  382 ,  408 ,  409 ,  478 ,,  468 ,  550 
 Grossmont ,735,900,"1,005","1,162","1,163","1,181","1,093","1,052","1,097","1,107","1,006","2,556","2,875","2,422","2,741","2,503","3,036","  2,471 ","3,681","3,389","3,622","3,516","3,329","3,432","3,187","3,023","3,090","2,864","2,555","2,604","2,605","2,379","2,554","2,510","2,521","2,334","2,469","2,353","2,224","2,617","  1,827 ",  861 ,  976 ,"  1,097 ","  1,082 ","  1,302 ",,"  1,317 ","  1,610 "
 H St ,"2,512","2,739","2,902","3,622","3,540","3,910","4,134","4,172","3,689","3,518","3,749","3,660","3,281","3,444","3,552","3,069","3,616","  2,303 ","2,787","2,726","2,675","2,775","2,412","2,598","3,281","3,185","3,202","3,126","2,982","2,860","3,111","2,925","3,008","3,151","3,164","2,932","2,955","2,915","2,696","2,949","  2,113 ",  895 ,"  1,149 ","  1,311 ","  1,357 ","  1,741 ",,"  1,835 ","  2,224 "
 Harborside ,979,"1,126","1,018","1,022","1,006","1,052","1,046","1,062","1,049","1,043","1,130","1,244","1,376","1,501","1,683","1,287","1,095",  678 ,841,846,721,703,817,926,"1,115","1,188","1,109","1,070",954,914,"1,039",932,"1,127","1,164","1,165",946,998,"1,184","1,437","1,644",  943 ,  683 ,  802 ,"  1,037 ","  1,000 ","  1,437 ",,"  1,385 ","  1,482 "
 Hazard Center ,,,,,541,632,558,486,560,644,540,753,721,796,768,783,692,  742 ,922,953,928,916,"1,007",889,881,"1,033",877,829,927,808,856,878,806,765,768,803,751,752,813,889,  715 ,  410 ,  428 ,  466 ,  457 ,  529 ,,  549 ,  629 
 Iris Ave ,"2,136","2,082","2,462","2,780","2,881","3,030","3,112","3,423","3,079","2,885","2,855","2,763","3,052","3,056","3,401","2,936","3,586","  2,556 ","3,317","3,206","3,091","3,306","3,204","3,396","3,854","3,998","4,154","4,026","4,202","3,956","4,137","4,035","4,031","4,269","4,294","4,181","4,122","4,055","4,027","4,208","  3,152 ","  1,480 ","  1,984 ","  2,224 ","  2,181 ","  2,822 ",,"  2,841 ","  3,384 "
 La Mesa Blvd ,799,903,922,"1,117","1,079","1,177","1,191","1,078","1,121","1,017",970,"1,089","1,045","1,037","1,135","1,203","1,150",  828 ,"1,487","1,399","1,449","1,355","1,319","1,295","1,205","1,151","1,121","1,063","1,038","1,019","1,038",975,"1,000",987,990,961,948,943,929,977,  730 ,  372 ,  403 ,  475 ,  440 ,  536 ,,  525 ,  675 
