objectid,stop_uid,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_agncy,wheelchair,intersec,stop_place,parent_sta,lat,lng
3295,MTS_60090,60090,60090,Palm Av & Beyer Bl,32.58370573,-117.0705412,MTS,1,F-E/B,,,32.58370098,-117.0705293
3296,MTS_60197,60197,60197,Palm Av & Beyer Bl,32.5839545,-117.0715661,MTS,1,F-W/B,,,32.58394975,-117.0715542
3297,MTS_60095,60095,60095,Palm Av & Beyer Wy,32.58365055,-117.0614477,MTS,1,F-E/B,beypa1,,32.5836458,-117.0614358
3298,MTS_60157,60157,60157,Palm Av & Beyer Wy,32.58389348,-117.0608688,MTS,1,N-W/B,beypa1,,32.58388873,-117.0608569
3299,MTS_60481,60481,60481,Palm Av & Delcardo Av,32.5838536,-117.0420786,MTS,1,F-W/B,,,32.58384885,-117.0420667
3300,MTS_91027,91027,91027,Palm Av & Dennery Rd,32.58361576,-117.0328536,MTS,1,N-E/B,,,32.58361101,-117.0328418
3301,MTS_60501,60501,60501,Palm Av & Dennery Rd (Kaiser),32.58402538,-117.0328378,MTS,1,F-W/B,,,32.58402063,-117.0328259
3302,MTS_60087,60087,60087,Palm Av & Desty St,32.58386936,-117.0768958,MTS,0.00E+00,F-E/B,,,32.58386461,-117.076884
3303,MTS_60193,60193,60193,Palm Av & Desty St,32.58405339,-117.0773228,MTS,0.00E+00,F-W/B,,,32.58404864,-117.0773109
3304,MTS_60138,60138,60138,Palm Av & Emory St,32.58406783,-117.1128674,MTS,1,N-W/B,,,32.58406308,-117.1128555
3305,MTS_60472,60472,60472,Palm Av & Firethorn St,32.58362426,-117.0401287,MTS,1,F-E/B,,,32.58361951,-117.0401169
3306,MTS_60029,60029,60029,Palm Av & Florida St,32.5837222,-117.1095872,MTS,1,N-E/B,,,32.58371745,-117.1095753
3307,MTS_60141,60141,60141,Palm Av & Florida St,32.584059,-117.1091379,MTS,1,N-W/B,,,32.58405425,-117.109126
3308,MTS_60094,60094,60094,Palm Av & Hawaii Av,32.58370625,-117.0659119,MTS,1,F-E/B,,,32.5837015,-117.0659
3309,MTS_60156,60156,60156,Palm Av & Hawaii Av,32.58395525,-117.0660798,MTS,1,N-W/B,,,32.5839505,-117.0660679
3310,MTS_60149,60149,60149,Palm Av & Hollister St (Palm Av Trolley Stn),32.58394753,-117.0836457,MTS,1,N-W/B,plmtro,,32.58394278,-117.0836339
3311,MTS_60042,60042,60042,Palm Av & Hollister St (Trolley),32.58367653,-117.0842957,MTS,1,N-E/B,plmtro,,32.58367178,-117.0842838
3312,MTS_60480,60480,60480,Palm Av & I-805 Off Ramp,32.58387388,-117.0389201,MTS,1,F-W/B,,,32.58386913,-117.0389082
3313,MTS_60471,60471,60471,Palm Av & Kostner Dr,32.58361905,-117.0413688,MTS,0.00E+00,F-E/B,,,32.5836143,-117.0413569
3314,MTS_60195,60195,60195,Palm Av & Lanao Ln,32.58427987,-117.0746986,MTS,1,F-W/B,,,32.58427512,-117.0746868
3315,MTS_60098,60098,60098,Palm Av & Norstad Av,32.58362288,-117.0542688,MTS,1,N-E/B,,,32.58361813,-117.0542569
3316,MTS_60202,60202,60202,Palm Av & Norstad Av,32.58383509,-117.0542649,MTS,2,N-W/B,,,32.58383034,-117.054253
3317,MTS_60469,60469,60469,Palm Av & Piccard Av,32.58357787,-117.0502926,MTS,1,F-E/B,,,32.58357312,-117.0502807
3318,MTS_60483,60483,60483,Palm Av & Piccard Av,32.58378533,-117.0507233,MTS,1,N-W/B,,,32.58378058,-117.0507114
3319,MTS_60074,60074,60074,Palm Av & Rainbow Dr,32.58379664,-117.1205489,MTS,1,F-E/B,,,32.58379189,-117.120537
3320,MTS_60133,60133,60133,Palm Av & Rainbow Dr,32.5840119,-117.1204244,MTS,1,N-W/B,,,32.58400715,-117.1204125
3321,MTS_60040,60040,60040,Palm Av & Saturn Bl,32.58368992,-117.0940284,MTS,1,M-Street-E/B,,,32.58368517,-117.0940165
3322,MTS_91026,91026,91026,Palm Av & Saturn Bl,32.58402077,-117.0930739,MTS,1,F-W/B,,,32.58401602,-117.093062
3323,MTS_60036,60036,60036,Palm Av & Thermal Av,32.5837017,-117.0971158,MTS,1,N-E/B,,,32.58369695,-117.0971039
3324,MTS_60185,60185,60185,Palm Av & Thermal Av,32.58402904,-117.0970767,MTS,1,F-W/B,,,32.58402429,-117.0970648
3325,MTS_60470,60470,60470,Palm Av & Twining Av,32.58359391,-117.0452707,MTS,1,F-E/B,,,32.58358916,-117.0452588
3326,MTS_60482,60482,60482,Palm Av & Twining Av,32.58383513,-117.044945,MTS,1,N-W/B,,,32.58383038,-117.0449331
3327,MTS_75006,75006,75006,Palm Avenue Station,32.58477987,-117.0837529,MTS,0.00E+00,M-TC-Train-N/B,plmS,plmS,32.58477512,-117.0837411
3328,MTS_75007,75007,75007,Palm Avenue Station,32.584454,-117.0838599,MTS,0.00E+00,M-TC-Train-S/B,plmS,plmS,32.58444925,-117.083848
3329,MTS_98055,98055,98055,Palm Canyon Dr & Sunset Realty,33.25646462,-116.3774276,MTS,2,M-Street-E/B,,,33.25645975,-116.3774158
3330,MTS_98002,98002,98002,Palm Canyon Rd & 1010,33.25672815,-116.3605519,MTS,2,M-Street-W/B,,,33.25672328,-116.3605401
3331,MTS_98001,98001,98001,Palm Canyon Rd & 818,33.25678001,-116.369816,MTS,2,M-Street-W/B,,,33.25677514,-116.3698042
3332,MTS_98053,98053,98053,Palm Canyon Rd & Five Diamonds Rd,33.25641876,-116.3918338,MTS,2,M-Street-E/B,,,33.25641389,-116.3918219
3333,MTS_98054,98054,98054,Palm Canyon Rd & Five Diamonds Rd,33.25657529,-116.3919387,MTS,2,N-W/B,,,33.25657042,-116.3919269
3334,MTS_98000,98000,98000,Palm Canyon Rd & Opp 818,33.25654641,-116.3698058,MTS,2,M-Street-W/B,,,33.25654154,-116.369794
3335,MTS_98052,98052,98052,Palm Canyon Rd & Opp Palm Canyon Springs Resort,33.25658072,-116.3967212,MTS,2,M-Street-W/B,,,33.25657585,-116.3967094
3336,MTS_98051,98051,98051,Palm Canyon Rd & Palm Canyon Resort Rv Exit,33.25638011,-116.3967077,MTS,2,M-Street-E/B,,,33.25637524,-116.3966959
3337,MTS_90001,90001,90001,Palm St,32.73285347,-117.1765112,MTS,0.00E+00,,admbol,,32.73284871,-117.1764993
3338,MTS_90004,90004,90004,Palm St,32.73285447,-117.1764513,MTS,0.00E+00,,admbol,,32.73284971,-117.1764394
3339,MTS_11909,11909,11909,Palmilla Dr & Lebon Dr,32.86452205,-117.2252001,MTS,1,F-S/B,,,32.86451727,-117.2251881
3340,MTS_30031,30031,30031,Palomar St & 1st Av,32.60910918,-117.0577623,MTS,0.00E+00,F-E/B,,,32.60910443,-117.0577504
3341,MTS_30184,30184,30184,Palomar St & 1st Av,32.6091016,-117.0584994,MTS,0.00E+00,F-W/B,,,32.60909685,-117.0584875
3342,MTS_30026,30026,30026,Palomar St & 2nd Av,32.60801456,-117.061636,MTS,0.00E+00,F-E/B,,,32.60800981,-117.0616241
