Neighborhood,Homicide,Kidnapping/Abduction,Sexual Assault,Aggravated Assault,Simple Assault,Intimidation,Other Sex Offenses,Robbery,Arson,Burglary/Breaking & Entering,Larceny,Theft From Motor Vehicle,Motor Vehicle Theft,Fraud/Counterfeiting,Stolen Property Offenses,Vandalism,Drug/Narcotic Offenses,Pornography/Obscene Material,Gambling Offenses,Prostitution,Weapon Law Violations,Animal Cruelty
STOCKTON,0.0,0.4,0.0,10.1,5.6,2.4,0.0,0.4,0.4,2.8,10.4,3.8,10.4,0.7,1.4,12.5,8.7,0.0,0.0,0.0,3.8,0.0
SUNSET CLIFFS,0.0,0.0,0.0,2.3,3.3,1.7,0.0,0.0,0.0,0.3,2.7,3.0,2.3,2.3,0.3,4.0,2.0,0.0,0.0,0.0,0.0,0.0
SWAN CANYON,0.0,0.5,0.2,7.3,8.5,1.2,0.2,0.5,0.2,1.7,2.4,1.5,3.1,1.0,1.0,5.1,3.1,0.2,0.0,0.0,0.5,0.0
TALMADGE,0.1,0.2,0.3,2.9,3.7,0.6,0.0,0.9,0.2,2.3,5.6,7.2,2.4,2.1,0.8,5.6,5.7,0.0,0.0,0.0,1.1,0.0
TERALTA EAST,0.0,0.0,0.6,7.2,7.7,1.7,0.0,1.7,0.9,1.1,5.4,4.5,2.4,3.5,0.9,7.2,14.6,0.0,0.2,0.0,2.6,0.0
TERALTA WEST,0.0,0.0,0.4,10.1,9.9,1.5,0.0,1.3,0.2,2.6,4.6,3.7,4.2,2.0,0.9,8.3,9.0,0.0,0.0,0.0,2.0,0.0
TIERRASANTA,0.0,0.0,0.5,0.9,1.8,0.1,0.1,0.0,0.0,0.8,2.8,1.5,0.9,1.4,0.0,1.6,0.3,0.0,0.0,0.0,0.1,0.0
TIJUANA RIVER VALLEY,31.8,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,63.5,15.9,0.0,0.0,0.0,15.9,0.0
TORREY HIGHLANDS,0.0,0.0,0.4,0.3,1.0,0.3,0.0,0.0,0.0,1.2,2.5,1.3,0.4,1.6,0.4,1.3,0.4,0.0,0.0,0.0,0.0,0.0
TORREY PINES,0.0,0.1,0.3,0.8,0.9,0.1,0.0,0.2,0.0,0.2,2.2,1.2,1.1,0.7,0.1,1.1,0.4,0.0,0.0,0.0,0.3,0.0
TORREY PRESERVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIVERSITY CITY,0.0,0.1,0.3,0.9,2.2,0.3,0.0,0.4,0.0,1.2,9.2,2.9,1.9,2.0,0.3,2.6,0.7,0.0,0.0,0.0,0.1,0.0
UNIVERSITY HEIGHTS,0.0,0.1,0.3,2.6,3.4,0.3,0.0,0.3,0.1,2.3,7.2,4.2,4.2,1.8,0.4,4.3,2.6,0.1,0.0,0.0,0.3,0.0
VALENCIA PARK,0.0,0.0,0.4,5.6,6.7,0.6,0.0,0.5,0.0,0.5,3.8,2.8,3.6,1.4,0.3,3.5,2.9,0.0,0.0,0.0,1.3,0.0
WOODED AREA,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.4,3.4,2.3,1.7,2.0,0.3,1.1,1.1,0.0,0.0,0.0,0.0,0.0
