Neighborhood,Year,Simple Assault,Robbery,Larceny,Motor Vehicle Theft,Vandalism,Drug/Narcotic Offenses
REDWOOD VILLAGE,2025,4.72,1.93,13.3,2.15,7.51,3.65
RIDGEVIEW/WEBSTER,2023,9.6,1.4,6.5,3.5,5.5,3.5
RIDGEVIEW/WEBSTER,2024,8.0,1.2,5.9,4.3,7.2,7.4
RIDGEVIEW/WEBSTER,2025,10.62,1.02,6.53,3.27,7.35,5.31
ROLANDO,2023,9.0,2.5,8.6,6.5,9.7,4.8
ROLANDO,2024,7.4,2.4,7.1,3.7,8.3,6.9
ROLANDO,2025,7.24,2.41,7.75,2.29,5.84,3.68
ROLANDO PARK,2023,6.4,0.8,5.6,4.0,5.0,1.6
ROLANDO PARK,2024,8.8,0.5,4.0,4.0,7.2,4.2
ROLANDO PARK,2025,6.1,2.12,5.84,2.92,4.77,2.39
ROSEVILLE / FLEET RIDGE,2023,4.6,0.6,4.0,1.9,3.2,1.9
ROSEVILLE / FLEET RIDGE,2024,4.4,0.6,7.3,2.5,4.0,1.9
ROSEVILLE / FLEET RIDGE,2025,5.87,0.0,4.44,1.11,3.49,2.06
SABRE SPRINGS,2023,1.4,0.0,1.4,2.5,1.5,0.5
SABRE SPRINGS,2024,0.8,0.1,1.5,1.3,1.4,0.3
SABRE SPRINGS,2025,1.18,0.09,1.36,0.82,0.91,0.82
SAN CARLOS,2023,1.8,0.0,2.0,1.6,1.7,0.7
SAN CARLOS,2024,0.9,0.2,2.6,0.9,1.8,0.2
SAN CARLOS,2025,1.12,0.07,3.94,0.74,2.75,0.3
SAN PASQUAL,2023,16.8,0.0,4.2,4.2,8.4,8.4
SAN PASQUAL,2024,21.0,0.0,4.2,8.4,4.2,0.0
SAN PASQUAL,2025,4.2,0.0,8.4,0.0,12.61,0.0
SAN YSIDRO,2023,6.5,2.0,32.0,18.0,7.9,7.2
SAN YSIDRO,2024,5.7,1.9,32.1,14.1,5.9,4.2
SAN YSIDRO,2025,5.65,1.68,33.43,7.5,4.85,5.49
SCRIPPS RANCH,2023,1.2,0.2,2.5,1.2,1.6,0.2
SCRIPPS RANCH,2024,2.0,0.2,2.9,0.6,2.5,0.6
SCRIPPS RANCH,2025,1.67,0.1,2.72,0.52,2.4,0.21
SERRA MESA,2023,2.9,0.3,2.9,3.5,3.1,1.2
SERRA MESA,2024,3.4,0.3,4.1,2.7,3.2,1.4
SERRA MESA,2025,3.47,0.26,3.73,2.14,3.03,1.62
SHELLTOWN,2023,3.3,0.8,2.2,3.8,2.4,2.2
SHELLTOWN,2024,3.8,0.0,1.9,3.5,4.1,2.7
SHELLTOWN,2025,3.25,0.27,1.89,2.98,3.52,2.43
SHERMAN HEIGHTS,2023,8.0,1.8,5.9,6.5,9.2,10.0
SHERMAN HEIGHTS,2024,9.5,1.2,5.9,10.0,9.7,15.9
SHERMAN HEIGHTS,2025,7.09,0.89,7.97,6.79,6.79,29.82
SKYLINE,2023,3.2,0.4,2.5,3.6,2.9,2.5
SKYLINE,2024,3.3,0.3,3.6,2.1,4.4,1.4
SKYLINE,2025,5.39,0.55,4.42,1.66,4.84,1.52
SORRENTO VALLEY,2023,5.2,0.3,13.7,10.5,9.7,2.5
SORRENTO VALLEY,2024,2.5,0.3,19.0,7.0,12.7,4.0
SORRENTO VALLEY,2025,5.24,0.0,21.97,5.99,12.98,2.75
SOUTH PARK,2023,3.6,1.0,4.6,2.6,3.1,1.2
SOUTH PARK,2024,1.8,0.2,8.9,4.8,3.3,1.3
SOUTH PARK,2025,2.64,0.5,3.63,2.81,2.64,0.83
SOUTHCREST,2023,6.9,1.7,3.0,5.2,8.4,1.5
SOUTHCREST,2024,6.9,2.1,4.7,4.1,6.1,5.2
SOUTHCREST,2025,9.12,1.68,4.65,4.28,4.1,5.96
STOCKTON,2023,8.7,1.0,3.5,4.2,5.2,6.9
STOCKTON,2024,5.6,0.4,10.4,10.4,12.5,8.7
STOCKTON,2025,5.55,0.0,11.44,3.12,6.93,7.97
SUNSET CLIFFS,2023,2.7,0.0,2.0,1.7,2.3,2.3
SUNSET CLIFFS,2024,3.3,0.0,2.7,2.3,4.0,2.0
SUNSET CLIFFS,2025,1.66,0.33,2.33,2.33,2.33,1.66
SWAN CANYON,2023,7.5,0.5,3.4,4.8,4.4,1.9
SWAN CANYON,2024,8.5,0.5,2.4,3.1,5.1,3.1
SWAN CANYON,2025,5.8,0.48,2.66,2.9,3.38,3.14
TALMADGE,2023,5.8,0.5,6.6,3.4,5.8,3.3
TALMADGE,2024,3.7,0.9,5.6,2.4,5.6,5.7
TALMADGE,2025,5.61,0.7,7.71,2.3,6.01,4.21
TERALTA EAST,2023,6.3,1.2,5.1,4.7,8.9,13.7
TERALTA EAST,2024,7.7,1.7,5.4,2.4,7.2,14.6
TERALTA EAST,2025,6.02,2.11,3.61,3.76,5.26,22.26
TERALTA WEST,2023,7.5,1.7,3.9,6.1,7.9,11.2
TERALTA WEST,2024,9.9,1.3,4.6,4.2,8.3,9.0
TERALTA WEST,2025,9.9,1.47,6.23,4.58,6.23,13.02
TIERRASANTA,2023,2.0,0.0,2.1,0.9,1.9,0.3
TIERRASANTA,2024,1.8,0.0,2.8,0.9,1.6,0.3
